Bucket #,JBX Range,Property,Range width,Source,Grind ,Comms ,Shadowiness,Perception,Strength,Arcana
21,"12,000-13,999",Bannible Lector ,2000,https://en.wikipedia.org/wiki/Hannibal_Lecter,4,0,2,2,3,0
22,"14,000-15,999",Wade (Deadpool),2000,https://en.wikipedia.org/wiki/Deadpool,3,4,3,3,3,2
23,"16,000-17,999",Chokha,2000,https://en.wikipedia.org/wiki/Tamar_of_Georgia,4,4,0,3,2,2
24,"18,000-19,999",Dolly,2000,https://en.wikipedia.org/wiki/Dolly_Parton,5,5,3,2,2,3
25,"20,000-21,999",Astronaut (Baker),2000,https://en.wikipedia.org/wiki/Miss_Baker,2,2,2,5,3,1
26,"22,000-23,999",Musketeer (Athos),2000,https://en.wikipedia.org/wiki/Athos_(character),3,4,3,3,3,3
27,"24,000-25,999",The Witch of Endor,2000,https://en.wikipedia.org/wiki/Witch_of_Endor,4,4,4,3,3,4
28,"26,000-27,999",Assassin (Desmond Miles),2000,https://en.wikipedia.org/wiki/Desmond_Miles,5,2,5,4,3,3
29,"28,000-29,999",Banhovah,2000,https://en.wikipedia.org/wiki/Jehovah,2,2,2,5,5,5
30,"30,000-39,999",Pink Banny,10000,,5,5,0,0,5,3
31,"40,000-49,999",Pirate (Edward Teach),10000,https://en.wikipedia.org/wiki/Blackbeard,4,4,4,4,3,1
32,"50,000-59,999",Elf,10000,,3,2,4,4,2,5
33,"60,000-69,999",Naruto,10000,https://en.wikipedia.org/wiki/Naruto,4,4,0,4,4,3
34,"70,000-79,999",Pharaoh King Banatut,10000,,4,3,2,5,3,4
35,"80,000-89,999",Banny in Black,10000,,3,5,3,4,3,3
36,"90,000-99,999",Batbanny,10000,,4,2,4,4,4,3
37,"100,000-199,999",Mario,100000,,3,4,3,2,5,3
38,"200,000-299,999",Geisha,100000,,2,5,2,4,3,2
39,"300,000-399,999",Jango Fett,100000,,5,2,5,3,3,3
40,"400,000-499,999",Tinkerbanny,100000,,3,3,3,3,3,5
41,"500,000-599,999",Banny Stark,100000,,4,4,3,3,5,3
42,"600,000-699,999",Professor (Emmett  “Doc” Brown),100000,https://en.wikipedia.org/wiki/Emmett_Brown,4,3,2,4,2,4
43,"700,000-799,999",Kill Bill,100000,,4,2,5,5,3,3
44,"800,000-899,999",The Shining,100000,,3,2,5,3,4,5
45,"900,000-999,999",Musashi (Samurai),100000,https://en.wikipedia.org/wiki/Miyamoto_Musashi,5,5,5,5,5,2
46,"1,000,000-1,999,999",Obiwan Kenobanana,1000000,,4,5,4,5,5,5
47,"2,000,000-2,999,999",Alien,1000000,,2,2,5,4,4,4
48,"3,000,000-3,999,999",Spock,1000000,,4,3,5,4,3,3
49,"4,000,000-4,999,999",Harley Quinn,1000000,,4,4,3,3,5,4
50,"5,000,000-5,999,999",Playboy,1000000,,5,5,3,3,3,3
51,"6,000,000-6,999,999",Princess Leia,1000000,,3,4,3,5,3,3
52,"7,000,000-7,999,999",Lestat The Undead,1000000,https://en.wikipedia.org/wiki/Interview_with_the_Vampire_(film),4,5,5,5,5,5
53,"8,000,000-8,999,999",Jinx,1000000,,5,4,4,4,5,4
54,"9,000,000-9,999,999",Cyber Punk,1000000,,3,4,3,4,5,4
55,"10,000,000-19,999,999",Diana Banana (Wonder Woman),20000000,,5,4,4,4,5,5
56,"20,000,000-39,999,999",Banny Potter,20000000,,3,4,4,4,5,5
57,"40,000,000-59,999,999",Prince of Darkness,20000000,,5,5,5,4,4,5
58,"60,000,000-99,999,999",Blondie (Cowboy),40000000,"https://en.wikipedia.org/wiki/The_Good,_the_Bad_and_the_Ugly",5,5,4,5,5,4
59,"100,000,000-599,999,999",Dr. Manhattan,"600,000,000",,4,5,4,5,5,5
60,"600,000,000",Buddha,"100,000,000",,5,5,5,5,5,5
